time_s,roll_deg,pitch_deg
1.789714,95.0765,2.7709
1.799713,95.3939,3.8584
1.809711,95.6675,4.9592
1.819710,95.9510,6.0140
1.829708,96.3089,6.9642
1.839706,96.7423,7.7041
1.849705,97.1953,8.2099
1.859703,97.7050,8.5260
1.869702,98.2786,8.6375
1.879700,98.7897,8.5617
1.889698,99.1776,8.3418
1.899697,99.4526,8.1459
1.909695,99.6224,8.1291
1.919694,99.5812,8.3188
1.929692,99.1910,8.7171
1.939690,98.5269,9.3267
1.949689,97.7286,10.1350
1.959687,96.9198,11.0325
1.969686,96.2416,11.9328
1.979684,95.8297,12.7441
1.989683,95.5927,13.4209
1.999681,95.3283,13.9341
2.009679,94.8398,14.2375
2.019678,93.9937,14.3459
2.029676,92.8723,14.2607
2.039674,91.7728,13.8479
2.049673,90.8922,13.0190
2.059671,90.2208,11.8699
2.069670,89.5816,10.5689
2.079668,88.7143,9.0449
2.089667,87.4196,7.4234
2.099665,85.8179,6.0634
2.109663,84.1490,5.1267
2.119662,82.4710,4.4405
2.129660,80.7797,3.8930
2.139658,79.1439,3.3923
2.149657,77.6829,2.8720
2.159655,76.4683,2.2898
2.169654,75.5319,1.5646
2.179652,74.8129,0.7046
2.189651,74.1799,-0.1935
2.199649,73.5247,-1.0513
2.209647,72.8657,-1.8214
2.219646,72.3385,-2.5698
2.229644,71.9269,-3.0558
2.239643,71.6903,-3.3207
2.249641,71.6480,-3.4862
2.259639,71.6659,-3.5975
2.269638,71.8527,-4.4842
2.279636,71.9507,-6.0885
2.289635,71.2599,-7.8030
2.299633,70.0575,-9.5765
2.309631,68.7866,-11.2971
2.319630,67.8471,-12.7127
2.329628,67.4702,-13.6538
2.339627,67.6839,-14.3950
2.349625,68.0646,-15.2810
2.359623,68.3792,-16.4070
2.369622,68.8560,-17.4277
2.379620,69.5293,-18.2991
2.389619,70.2732,-18.9367
2.399617,71.1686,-19.4394
2.409615,72.2948,-19.8297
2.419614,73.6278,-20.0712
2.429612,74.9800,-20.2057
2.439611,76.1506,-20.2790
2.449609,77.1426,-20.3324
2.459607,77.9855,-20.2182
2.469606,78.7407,-19.6727
2.479604,79.3930,-18.8585
2.489603,79.7932,-17.6671
2.499601,79.9843,-16.2513
2.509599,80.0779,-14.6721
2.519598,80.1255,-13.1194
2.529596,79.8329,-12.2557
2.539595,79.0426,-12.2374
2.549593,78.0268,-12.8174
2.559591,76.9740,-13.7102
2.569590,75.8851,-14.7390
2.579588,74.8338,-15.8537
2.589587,73.9996,-17.0453
2.599585,73.2201,-18.1143
2.609584,72.3739,-18.7049
2.619582,72.0144,-18.8240
2.629580,72.1249,-18.4223
2.639579,72.4234,-17.1253
2.649577,73.1265,-14.7681
2.659576,74.4288,-11.9010
2.669574,75.8622,-9.2370
2.679572,77.0360,-7.4519
2.689571,77.6827,-6.9320
2.699569,77.7873,-7.3638
2.709568,77.9730,-7.9545
2.719566,79.0787,-7.9459
2.729564,80.9808,-6.7917
2.739563,83.0453,-5.0365
2.749561,85.0604,-3.2246
2.759560,86.9890,-1.3504
2.769558,88.8005,0.5937
2.779556,90.1683,2.1272
2.789555,90.7656,2.8580
2.799553,90.7399,3.0107
2.809552,91.0061,3.2402
2.819550,91.8085,3.9256
2.829548,92.6542,4.7425
2.839547,93.3056,5.2896
2.849545,93.6686,5.5890
2.859544,93.8935,5.6809
2.869542,94.2484,5.5729
2.879540,94.9394,5.2802
2.889539,95.9650,5.0395
2.899537,97.0037,5.0258
2.909536,97.7251,5.3229
2.919534,98.1787,5.9692
2.929532,98.5072,6.9571
2.939531,98.8061,8.1595
2.949529,99.0324,9.3723
2.959528,99.1803,10.4265
2.969526,99.3258,11.2144
2.979524,99.4944,11.7040
2.989523,99.6688,11.9229
2.999521,99.8420,11.9651
3.009520,100.0875,11.9886
3.019518,100.6126,12.0573
3.029516,101.3074,12.0565
3.039515,101.9682,11.8374
3.049513,102.4986,11.3403
3.059512,102.8612,10.6939
3.069510,103.0832,10.1868
3.079508,103.1739,10.0217
3.089507,103.0879,10.3134
3.099505,102.8029,11.0459
3.109504,102.3627,12.0854
3.119502,101.9007,13.2103
3.129500,101.5660,14.1975
3.139499,101.4251,14.8987
3.149497,101.4306,15.2216
3.159496,101.4696,15.2244
3.169494,101.4251,15.0427
3.179492,101.1306,14.8361
3.189491,100.4271,14.7296
3.199489,99.3784,14.6475
3.209488,98.1464,14.4096
3.219486,96.8916,13.8912
3.229484,95.6514,13.1258
3.239483,94.4215,12.2053
3.249481,93.2722,11.1666
3.259480,92.1974,10.0790
3.269478,91.0471,8.9998
3.279476,89.6108,7.8756
3.289475,87.8792,6.8066
3.299472,86.1014,5.9548
3.309471,84.3546,5.3025
3.319469,82.6412,4.7563
3.329467,80.9938,4.2277
3.339466,79.4376,3.6826
3.349464,77.9934,3.1039
3.359463,76.6690,2.4623
3.369461,75.4261,1.6909
3.379459,74.1921,0.7765
3.389458,72.9407,-0.2197
3.399456,71.6785,-1.2807
3.409455,70.4514,-2.2813
3.419453,69.3934,-2.9603
3.429451,68.6699,-3.5239
3.439450,68.5649,-4.7859
3.449448,69.1180,-6.5526
3.459447,69.8747,-8.2940
3.469445,70.1723,-9.7779
3.479443,69.5341,-10.9802
3.489442,68.4753,-12.2970
3.499440,67.6231,-13.7732
3.509439,67.3099,-15.2967
3.519437,67.4453,-16.7279
3.529435,67.9406,-18.1316
3.539434,68.4290,-19.5321
3.549432,68.9698,-20.8055
3.559431,69.8454,-21.9071
3.569429,71.1113,-22.8469
3.579427,72.8083,-23.4720
3.589426,74.8503,-23.4686
3.599424,76.9890,-23.4160
3.609423,78.0929,-23.6034
3.619421,78.3855,-23.2093
3.629419,78.6887,-22.5077
3.639418,79.0817,-21.5579
3.649416,79.5508,-20.4727
3.659415,79.9634,-19.4606
3.669413,80.2613,-18.6012
3.679411,80.4319,-17.9732
3.689410,80.4500,-17.3603
3.699408,80.3492,-16.8057
3.709407,79.9495,-16.5761
3.719405,79.3016,-16.6568
3.729403,78.5887,-16.9098
3.739402,77.8402,-17.1073
3.749400,77.0885,-17.2098
3.759399,76.3800,-17.3792
3.769397,75.7647,-17.7189
3.779396,75.2508,-18.1560
3.789394,74.8531,-18.5055
3.799392,74.4085,-18.4921
3.809391,74.0581,-17.7572
3.819389,74.1600,-16.1672
3.829388,74.8344,-13.9144
3.839386,76.0626,-11.7497
3.849384,77.5152,-10.1209
3.859383,78.9062,-9.1853
3.869381,80.0959,-8.6557
3.879380,81.4849,-8.0009
3.889378,83.4290,-6.7879
3.899376,85.6889,-5.2050
3.909375,87.9138,-3.4597
3.919373,89.9340,-1.5759
3.929372,91.5616,0.2944
3.939370,92.7472,2.1055
3.949368,93.4398,3.6122
3.959367,93.5560,4.3947
3.969365,93.5695,4.7403
3.979364,94.4653,5.1894
3.989362,95.9593,5.8090
3.999360,97.4953,6.4247
4.009359,98.5407,7.0924
4.019357,98.8377,7.8197
4.029356,98.5333,8.4593
4.039354,98.0511,8.8294
4.049352,97.8063,8.8567
4.059351,98.1329,8.6666
4.069349,98.6892,8.4011
4.079348,99.1041,8.2507
4.089346,99.4427,8.3674
4.099344,99.7842,8.7938
4.109343,100.1562,9.4385
4.119341,100.5090,10.1572
4.129340,100.8362,10.8583
4.139338,101.1945,11.4431
4.149336,101.5267,11.9240
4.159335,101.7807,12.3403
4.169333,101.9727,12.7344
4.179332,102.2213,13.1566
4.189330,102.6469,13.5720
4.199328,103.1559,13.8144
4.209327,103.5634,13.6947
4.219325,103.8034,13.2134
4.229324,103.8945,12.5405
4.239322,103.9054,11.9072
4.249320,103.8960,11.5104
4.259319,103.9028,11.5281
4.269317,103.9385,11.9639
4.279316,103.8847,12.6739
4.289314,103.6082,13.4718
4.299313,103.1379,14.1776
4.309312,102.6262,14.6930
4.319310,102.2272,15.0267
4.329309,102.0286,15.2531
4.339307,101.9389,15.3731
4.349305,101.7252,15.4568
4.359304,101.2923,15.4579
4.369302,100.5922,15.0599
4.379301,99.5918,14.1117
4.389299,98.4426,12.7387
4.399297,97.1068,11.4356
4.409296,95.6265,10.4882
4.419294,94.1784,9.7891
4.429293,92.8102,9.2428
4.439291,91.4252,8.6301
4.449289,89.9002,7.9580
4.459288,88.3479,7.4318
4.469286,86.8594,6.9512
4.479285,85.2880,6.4088
4.489283,83.6675,5.7925
4.499281,82.1206,5.1137
4.509280,80.6618,4.3721
4.519278,79.2264,3.5755
4.529277,77.7880,2.7302
4.539275,76.3780,1.8554
4.549273,75.0402,0.9671
4.559272,73.7840,0.1031
4.569270,72.6254,-0.8075
4.579269,71.5973,-1.5877
4.589267,70.9628,-2.6291
4.599265,71.1457,-4.5317
4.609264,72.1640,-6.6049
4.619262,73.2197,-8.2624
4.629261,73.2179,-9.3267
4.639259,72.0878,-10.4268
4.649257,70.9225,-12.0775
4.659256,70.0715,-13.8971
4.669254,69.6831,-15.4679
4.679253,69.7627,-16.8617
4.689251,70.1805,-18.2846
4.699249,70.7946,-19.7115
4.709248,71.5301,-21.4303
4.719246,72.3429,-23.1996
4.729245,73.5073,-24.8544
4.739243,74.9700,-26.3330
4.749241,77.1163,-27.3395
4.759240,79.7114,-27.8416
4.769238,81.9738,-28.2508
4.779237,83.0273,-28.3094
4.789235,83.9434,-27.8137
4.799233,84.8349,-26.9674
4.809232,85.6066,-25.9110
4.819230,86.1691,-24.8106
4.829229,86.5709,-23.9193
4.839227,86.8055,-23.2883
4.849225,86.7372,-22.7224
4.859224,86.2279,-22.2841
4.869222,85.3295,-22.1055
4.879221,84.3020,-22.1132
4.889219,83.3044,-22.3795
4.899217,82.1813,-22.5341
