"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.545911250E-1,-1.141094938E-1,-1.503385544E0,-4.879976809E-1
7.645901250E-1,-1.928545684E-1,-1.519401550E0,-5.496799946E-1
7.745881250E-1,-1.917477548E-1,-1.396417499E0,-5.123621821E-1
7.845861250E-1,-1.995595694E-1,-1.183924675E0,-4.776625037E-1
7.945851250E-1,-2.105006278E-1,-1.195825577E0,-5.954988599E-1
8.045831250E-1,-2.425126880E-1,-1.411648870E0,-7.852107286E-1
8.145821250E-1,-3.739593923E-1,-1.723749757E0,-8.952679634E-1
8.245801250E-1,-4.870404899E-1,-2.063054800E0,-9.759435654E-1
8.345781250E-1,-4.703776240E-1,-2.332353830E0,-1.045874357E0
8.445771250E-1,-4.258157313E-1,-2.419864655E0,-1.097852707E0
8.545751250E-1,-3.529212773E-1,-2.382055759E0,-1.069167256E0
8.645741250E-1,-2.677373588E-1,-2.344089508E0,-9.466613531E-1
8.745721250E-1,-2.495223880E-1,-2.503171444E0,-7.675725818E-1
8.845701250E-1,-3.701988757E-1,-2.909472466E0,-5.742805004E-1
8.945691250E-1,-6.063805223E-1,-3.358122349E0,-4.603451490E-1
9.045671250E-1,-8.521577716E-1,-3.627734184E0,-4.764340818E-1
9.145661250E-1,-1.154166579E0,-3.327145815E0,-6.865636110E-1
9.245641250E-1,-1.351713657E0,-2.608531713E0,-7.925089002E-1
9.345621250E-1,-1.167667150E0,-2.260663986E0,-7.524093986E-1
9.445611250E-1,-8.060944676E-1,-1.961912513E0,-7.500960231E-1
9.545591250E-1,-5.285555124E-1,-1.760623455E0,-8.140166402E-1
9.645581250E-1,-4.262734056E-1,-1.586520314E0,-8.823197484E-1
9.745561250E-1,-4.184405208E-1,-1.511435986E0,-8.981612921E-1
9.845541250E-1,-4.244455397E-1,-1.578453183E0,-8.381577134E-1
9.945531250E-1,-4.288794100E-1,-1.691990972E0,-7.612403035E-1
1.004551125E0,-4.338573217E-1,-1.770500779E0,-7.100358009E-1
1.014550125E0,-4.237519503E-1,-1.800949216E0,-6.676542163E-1
1.024548125E0,-4.057272375E-1,-1.813781023E0,-6.454790831E-1
1.034546125E0,-3.806810081E-1,-1.814303041E0,-6.491806507E-1
1.044545125E0,-3.299500644E-1,-1.769737363E0,-6.581287384E-1
1.054543125E0,-2.566031516E-1,-1.662131786E0,-6.655647755E-1
1.064542125E0,-1.734683216E-1,-1.546470165E0,-6.693928242E-1
1.074540125E0,-6.006932631E-2,-1.439581513E0,-6.682125330E-1
1.084538125E0,5.640058964E-2,-1.250114918E0,-6.900796890E-1
1.094537125E0,1.954759210E-1,-1.049643636E0,-7.113330364E-1
1.104535125E0,3.265121281E-1,-8.308353424E-1,-7.315106392E-1
1.114534125E0,4.464015067E-1,-6.403500438E-1,-7.343133688E-1
1.124532125E0,5.364277363E-1,-5.054509640E-1,-7.254050374E-1
1.134531125E0,6.169582605E-1,-4.350026250E-1,-7.070590258E-1
1.144529125E0,6.768898368E-1,-4.067665637E-1,-6.580529213E-1
1.154527125E0,7.245574594E-1,-4.144210219E-1,-5.968950391E-1
1.164526125E0,7.501976490E-1,-4.320564866E-1,-5.345558524E-1
1.174524125E0,7.787699103E-1,-4.530656338E-1,-4.832692146E-1
