timestamp,ax,ay,az,gx,gy,gz
0.000000,-1.358275452,8.56967926,4.153113556,0.1597754657,0.3222278059,0.05287266523
0.009998,-1.407672729,8.49827774,4.306993561,0.1539300829,0.3594705164,0.05936172232
0.019997,-1.414708099,8.486003265,4.454736328,0.1233744472,0.3217280805,0.06770795584
0.029995,-1.451381836,8.538394318,4.568350067,0.07682558149,0.1995936334,0.06672818214
0.039993,-1.372196503,8.761879578,4.582570496,0.05730519071,0.1004343033,0.0533106029
0.049992,-1.404379578,8.667126617,4.450844421,0.05211149156,0.01594285667,0.04340683669
0.059990,-1.376687164,8.586743774,4.476141815,0.04954273254,-0.03336371109,0.04275049269
0.069989,-1.347797241,8.453670502,4.522545319,0.04000249133,-0.05832525343,0.03219292313
0.079987,-1.408121796,8.413853302,4.537214813,0.02967191301,-0.06770850718,0.02091403119
0.089985,-1.367705841,8.468489685,4.517006836,0.03155023977,-0.05119797215,0.009229412302
0.099984,-1.330133972,8.473429413,4.489913177,0.03899285942,-0.04184481502,0.01500303857
0.109982,-1.267115021,8.46789093,4.53407135,0.0422866568,-0.04780097678,0.01804303564
0.119981,-1.28358078,8.501121826,4.549489288,0.03952224553,-0.06914781034,0.02332226187
0.129979,-1.358724518,8.553213501,4.553381195,0.03637785092,-0.08234776556,0.02185698971
0.139977,-1.405876465,8.638835449,4.540208588,0.04691772908,-0.1167574003,0.01594598219
0.149976,-1.490001526,8.534053345,4.569248199,0.03859774768,-0.07355879247,0.03042905219
0.159974,-1.393751678,8.728498993,4.482428741,0.04115507007,-0.05674160272,0.03478074819
0.169973,-1.43566452,8.725205841,4.478985901,0.04537431523,-0.03877086192,0.03353917971
0.179971,-1.499431915,8.644224243,4.431684265,0.04241066799,-0.03962493688,0.03030669503
0.189969,-1.445843353,8.701255646,4.485123138,0.03309226781,-0.04685941339,0.02011877298
0.199968,-1.422491913,8.748257904,4.446952515,0.04199326783,-0.04953482375,0.01150224265
0.209966,-1.383872223,8.741222534,4.382736053,0.05826731026,-0.03087591752,0.0028349848
0.219965,-1.326242065,8.709787903,4.374652863,0.07458972931,-0.01967373304,0.005022042897
0.229963,-1.302740936,8.607849884,4.464615784,0.09150533378,-0.03244838491,0.003085125936
0.239961,-1.284329224,8.498427429,4.576433258,0.1007819772,-0.06940373778,0.009212220088
0.249960,-1.242865448,8.431217194,4.689597931,0.1085730493,-0.1441440284,0.01385171339
0.259958,-1.177900543,8.385562134,4.850962372,0.09280703217,-0.1783877313,0.03325109929
0.269957,-1.175206146,8.385262756,4.875211945,0.1223207116,-0.2563011646,0.02591755241
0.279955,-0.988843689,8.339907074,5.01262619,0.1342021376,-0.2629220784,0.002416445641
0.289953,-1.376836853,7.886799316,4.937033386,0.1606918126,-0.1979750246,-0.03098491952
0.299955,-1.484762421,7.965086517,4.788093109,0.209704265,-0.2000469714,-0.03637610003
0.309953,-1.166823578,7.959098969,4.948709106,0.2294079363,-0.2187349051,-0.006810749415
0.319952,-1.325643311,7.520361328,5.037624207,0.2751502693,-0.2277662009,0.06457857788
0.329950,-1.396595764,7.000941467,4.789440308,0.3402040899,-0.0418504104,0.112885125
0.339949,-1.402583313,7.054829407,4.109554138,0.4044568837,0.08273866028,0.1394272298
0.349947,-1.532662811,7.366780701,4.171225891,0.4701874256,0.1316784918,0.1534322649
0.359945,-1.512454834,7.246281281,4.235592041,0.5365189314,0.149684146,0.1732194275
0.369944,-1.481169891,6.798262939,4.212390289,0.5939438343,0.1625959426,0.170096606
0.379942,-1.41934845,6.591243439,4.241280212,0.6086755991,0.1384176463,0.1782898456
0.389941,-1.366208954,6.973249054,4.372706909,0.5860294104,0.07525357604,0.190641582
0.399939,-1.309476929,7.699389038,4.383484497,0.6106642485,0.06620655209,0.1263624132
0.409937,-1.130000153,8.024662628,4.129313049,0.5780572891,0.07722404599,0.1522299647
0.419936,-1.085093536,8.150700531,4.15026947,0.4695371985,-0.1581529081,0.2299144268
0.429934,-0.8099656677,8.883726196,4.652624817,0.4364189208,-0.5165195465,0.2641381919
0.439933,-0.7816744995,8.705596619,4.451293488,0.425442338,-0.7659965158,0.3188390732
0.449931,-0.7602690125,9.12667099,3.936513977,0.4971122742,-0.886064589,0.3839323223
0.459929,-0.707428894,9.300758972,3.665128326,0.5929888487,-0.9383006692,0.4263494313
0.469928,-0.7677534485,8.767268372,3.673810272,0.7366887927,-0.8172621131,0.4480390251
0.479926,-0.7316784668,8.463849335,3.261268158,0.8453671336,-0.4152969718,0.4562001526
0.489925,-0.556842041,8.860524445,2.688409424,0.9104118943,0.01456945855,0.4203273654
0.499923,-0.4388873291,9.038204956,2.661615143,0.8742343783,0.3282750547,0.4244913459
0.509921,-0.3122506714,9.390123138,2.809058533,0.818667531,0.3892121911,0.5070844889
0.519920,-0.1097218323,9.861193542,3.30782135,0.7794072628,0.2513067722,0.5924028158
0.529918,0.03248245239,9.728419647,3.528462524,0.7221772671,0.02939009666,0.6554797888
0.539917,0.1091230774,9.084758148,3.573668518,0.6657192707,-0.2544848919,0.6513140798
0.549915,0.03353027344,8.521629181,3.670068054,0.6916816235,-0.6185872555,0.6139510274
0.559913,0.09295669556,8.280630341,3.675157471,0.8117542267,-0.9862091541,0.6886675954
0.569912,0.2432441711,9.86493576,3.433559875,1.048311114,-1.016206264,0.8900278807
0.579910,0.06466552734,12.30486191,2.689606934,1.035951138,-0.8116485476,1.075918078
0.589909,-0.02619552612,14.49450851,2.944227448,0.7474338412,-0.5372742414,0.9955399036
0.599907,-0.406255188,15.45625854,3.669618988,0.4539638758,-0.4797560871,0.4341886938
0.609905,-1.277293854,13.43411362,4.529131622,0.3461146653,-0.579729557,-0.003555363975
0.619904,-1.715881805,8.553063812,4.848717041,0.3292486668,-0.4444270134,0.1758137494
0.629902,-1.551373901,6.273903351,4.18544632,0.3791280687,-0.2314356416,0.1723103672
0.639901,-1.419647827,7.030280457,3.727997589,0.3485634923,-0.1131317839,0.04892427474
0.649899,-1.374142456,8.766370239,3.739673309,0.2923175097,-0.1862432659,0.05630682036
0.659897,-1.686243439,10.20457947,4.023632812,0.2137522101,-0.4072306454,0.1471655518
0.669896,-2.216590576,9.526040497,4.267775116,0.1342294216,-0.606320858,0.1343189925
0.679894,-2.643652496,8.49603241,4.17137558,0.09381327033,-0.7455625534,0.03848491237
0.689893,-2.685565338,8.407416687,4.020339661,0.07586489618,-0.7932938933,-0.05010567233
0.699891,-2.522254944,8.42463089,3.847898254,0.07042045146,-0.8026276231,-0.1265739799
0.709889,-2.192490692,8.415499878,3.761078796,0.07054615021,-0.8788001537,-0.1948262751
0.719888,-1.84057251,8.418044586,3.898343353,0.0623983629,-1.051191926,-0.2569681406
0.729886,-1.599573669,8.481063538,4.148473206,0.03849249333,-1.254896045,-0.327123791
0.739885,-1.481469269,8.693022766,4.473896484,-0.03198905289,-1.419655204,-0.4037730694
0.749883,-1.609902191,9.256151733,4.709805908,-0.1141094938,-1.503385544,-0.4879976809
0.759882,-1.790127411,9.773475952,4.804259491,-0.1928545684,-1.51940155,-0.5496799946
0.769880,-2.149380341,10.30487091,4.904850311,-0.1917477548,-1.396417499,-0.5123621821
0.779878,-2.749033356,10.4324057,4.99511261,-0.1995595694,-1.183924675,-0.4776625037
0.789877,-3.565435638,9.673184509,5.500162354,-0.2105006278,-1.195825577,-0.5954988599
0.799875,-4.097429352,8.49947525,6.403683472,-0.242512688,-1.41164887,-0.7852107286
0.809874,-4.601880341,8.286168823,6.968608704,-0.3739593923,-1.723749757,-0.8952679634
0.819872,-5.135969696,9.197324066,7.192393341,-0.4870404899,-2.0630548,-0.9759435654
0.829870,-5.563181305,10.15667908,6.555018768,-0.470377624,-2.33235383,-1.045874357
