"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.592331250E-1,1.056353302E0,8.482560425E0,2.088157654E0,8.799438394E0
6.692311250E-1,2.322121124E0,1.836156693E1,2.403252411E0,1.866319931E1
6.792291250E-1,2.460732880E0,2.801364532E1,2.105820923E0,2.820024845E1
6.892271250E-1,2.664010162E0,3.079965179E1,4.315226440E0,3.121436656E1
6.992251250E-1,1.615141296E0,1.795216827E1,6.517446899E0,1.916679789E1
7.092231250E-1,4.011657715E-1,8.219407654E0,6.208040314E0,1.030821811E1
7.192221250E-1,6.804849243E-1,6.105802917E0,4.782255249E0,7.785489982E0
7.292201250E-1,1.143921204E0,6.774462433E0,3.527265015E0,7.722920138E0
7.392181250E-1,1.212628326E0,8.282725983E0,2.988086243E0,8.888344984E0
7.492161250E-1,9.264234924E-1,8.606502686E0,3.173550568E0,9.219629720E0
7.592141250E-1,9.354048157E-1,8.602012024E0,3.481011200E0,9.326683870E0
7.692121250E-1,1.193917236E0,8.918453979E0,3.497626648E0,9.653893097E0
7.792101250E-1,1.188678131E0,8.906478882E0,3.410956879E0,9.611084673E0
7.892091250E-1,9.809101868E-1,8.721613312E0,3.113375702E0,9.312455735E0
7.992071250E-1,7.397616577E-1,8.788973236E0,2.643502808E0,9.207681844E0
8.092051250E-1,5.170248413E-1,8.833879852E0,2.168690186E0,9.110870708E0
8.191996250E-1,2.836601257E-1,8.950038300E0,1.839225311E0,9.141465877E0
8.291976250E-1,2.338137817E-1,8.991352386E0,1.790277100E0,9.170833044E0
8.391956250E-1,3.568579102E-1,8.966953125E0,2.038161621E0,9.202591956E0
8.491936250E-1,5.523513794E-1,8.906029816E0,2.401456146E0,9.240641252E0
8.591926250E-1,7.128176880E-1,8.850495300E0,2.812950439E0,9.314078929E0
8.691906250E-1,8.406518555E-1,8.863817596E0,3.279230804E0,9.488272371E0
8.791886250E-1,1.025367737E0,8.899144135E0,3.624862061E0,9.663631320E0
8.891866250E-1,1.269659729E0,8.981173553E0,3.826941833E0,9.844744691E0
8.991846250E-1,1.422192535E0,9.066346436E0,3.943699036E0,9.988695179E0
9.091826250E-1,1.424288177E0,9.151519318E0,4.064048767E0,1.011411860E1
9.191806250E-1,1.338366852E0,9.284143524E0,4.074227600E0,1.022672369E1
9.291796250E-1,1.209335175E0,9.432934113E0,3.975283356E0,1.030755137E1
9.391776250E-1,1.067430267E0,9.601932678E0,3.760779419E0,1.036725520E1
9.491756250E-1,9.717791748E-1,9.811945953E0,3.509901123E0,1.046604243E1
9.591736250E-1,9.425898743E-1,1.005683670E1,3.269051971E0,1.061673871E1
9.691716250E-1,8.643026733E-1,1.032073792E1,3.088677063E0,1.080761658E1
9.791696250E-1,8.357121277E-1,1.056443115E1,3.069217529E0,1.103293780E1
9.891676250E-1,8.113128662E-1,1.071726334E1,3.221301270E0,1.122028270E1
9.991666250E-1,6.337820435E-1,1.073178314E1,3.582949219E0,1.133183013E1
1.009164625E0,4.564009094E-1,1.071546707E1,3.976929932E0,1.143877214E1
1.019162625E0,3.613485718E-1,1.080947159E1,4.408931580E0,1.167963726E1
1.029160625E0,3.366499329E-1,1.092518097E1,4.456382904E0,1.180390872E1
1.039158625E0,4.846920776E-1,1.105585922E1,3.795507202E0,1.169926598E1
1.049156625E0,7.939489746E-1,1.106888214E1,2.675386505E0,1.141526170E1
1.059154625E0,1.460063782E0,1.069166656E1,1.717827759E0,1.092677685E1
1.069152625E0,2.758463745E0,9.847721558E0,1.251547394E0,1.030306328E1
1.079151625E0,3.737278290E0,8.427624664E0,1.534908142E0,9.346017842E0
1.089149625E0,4.210594025E0,7.605833588E0,2.321222992E0,8.998104399E0
1.099147625E0,4.036206665E0,7.562423859E0,3.051853638E0,9.099177407E0
1.109145625E0,3.077600098E0,7.605833588E0,3.673211517E0,8.989594528E0
1.119143625E0,2.378254395E0,8.013136597E0,4.574487305E0,9.528503880E0
1.129141625E0,2.436782684E0,8.975036316E0,5.536985779E0,1.082346517E1
1.139139625E0,2.752476196E0,1.015712814E1,5.823789368E0,1.202746440E1
1.149138625E0,2.349813538E0,1.086650299E1,5.505102081E0,1.240599290E1
1.159136625E0,1.783541107E0,1.090557175E1,4.780758362E0,1.204027261E1
1.169134625E0,1.111438751E0,1.029035110E1,4.162993011E0,1.115603571E1
1.179132625E0,7.897576904E-1,9.512718201E0,3.453019409E0,1.015080626E1
1.189130625E0,8.243357849E-1,8.417146454E0,3.042423248E0,8.988004402E0
1.199128625E0,1.180894318E0,7.613767090E0,2.880609741E0,8.225683751E0
1.209126625E0,1.660646667E0,7.084916840E0,2.917582855E0,7.840030848E0
1.219125625E0,2.114502869E0,6.620732117E0,3.112776947E0,7.615418338E0
1.229123625E0,2.353705444E0,6.255192261E0,3.310366058E0,7.458276140E0
1.239121625E0,2.406096497E0,5.951473846E0,3.382665710E0,7.256153844E0
1.249119625E0,2.308649139E0,5.616171112E0,3.348237305E0,6.934113632E0
1.259117625E0,2.147733765E0,5.237758026E0,3.425326996E0,6.616625612E0
1.269115625E0,1.951342163E0,5.071453857E0,3.557651825E0,6.494941645E0
1.279113625E0,1.629511414E0,5.204976196E0,3.840413818E0,6.670521940E0
1.289112625E0,1.071022797E0,5.416785736E0,4.269272003E0,6.979637597E0
1.299110625E0,5.580395508E-1,5.699996796E0,4.692591705E0,7.404173723E0
1.309108625E0,1.073268127E-1,5.909860382E0,4.897964630E0,7.676459229E0
1.319106625E0,-2.095642090E-1,5.931565247E0,4.964875488E0,7.738047043E0
1.329104625E0,-3.281176758E-1,5.931714935E0,4.965623932E0,7.742759477E0
1.339102625E0,-2.441423035E-1,6.042035522E0,5.073250122E0,7.893267101E0
1.349100625E0,-2.427951050E-1,6.301895142E0,5.517077179E0,8.379198794E0
1.359099625E0,-1.829196167E-1,6.595584412E0,6.228397980E0,9.073485257E0
